"age","demo_mode","month_called","age_num","demo_age_bucket","demo_sex","demo_education","demo_hispanic","demo_race","demo_relig","demo_income","demo_hhsize","demo_phonetype","demo_state","demo_region","demo_pop_density","demo_reg","demo_party","demo_ideology","y_dem","y_rep","y_oth","age_scaled","p_surveyed","p_matched","support","age_num_imp"
"74","landline",9,74,"06-Over 70","01-female","04-HS","02-N","W","01-protestant","06-50to75k","2","01-Both","WV","South","02","01-Yes","02-Rep","04-Conservative",0,1,0,0.243465941722131,0.379726707746418,0.109324764515981,"2-Rep",74
"72","landline",9,72,"06-Over 70","01-female","02-bach","02-N","W","04-jewish","07-75to100k","3","01-Both","FL","South","04","01-Yes","02-Rep","04-Conservative",0,1,0,0.221357261175008,0.687940488700484,0.0367030067725151,"2-Rep",72
"64","landline",9,64,"05-60to69","02-male","03-assoc","02-N","W","01-protestant","04-30to40k","3","02-LL only","NC","South","02","01-Yes","04-Lean Rep","04-Conservative",0,1,0,0.132922538986517,0.17014155166624,0.00111080356179711,"2-Rep",64
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","01-female","01-postgrad","02-N","O","01-protestant","08-100to150k","2","01-Both","DC","South","05-Highest","01-Yes","01-Dem","02-Liberal",1,0,0,0,0.130108474362998,0.208608527326045,"1-Dem",51.9755339805825
"91","landline",9,91,"06-Over 70","02-male","03-assoc","02-N","W","07-other","06-50to75k","1","01-Both","NJ","Northeast","03","02-Probably","04-Lean Rep","04-Conservative",0,1,0,0.431389726372675,0.79721027446651,0.99401182387872,"2-Rep",91
"31","landline",9,31,"02-30to39","02-male","03-assoc","02-N","W","07-other","05-40to50k","3","01-Both","PA","Northeast","02","01-Yes","01-Dem","02-Liberal",1,0,0,-0.231870690041009,0.00551613043354475,0.0241067871852522,"1-Dem",31
"60","landline",9,60,"05-60to69","02-male","04-HS","02-N","W","01-protestant","04-30to40k","2","01-Both","PA","Northeast","02","01-Yes","02-Rep","04-Conservative",0,1,0,0.0887051778922715,0.116892647014824,0.00505961627316839,"2-Rep",60
"64","landline",9,64,"05-60to69","02-male","04-HS","02-N","W","01-protestant","03-20to30k","2","01-Both","MA","Northeast","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.132922538986517,0.17014155166624,0.00585321660285045,"1-Dem",64
"73","landline",9,73,"06-Over 70","01-female","04-HS","02-N","W","04-jewish","03-20to30k","2","01-Both","PA","Northeast","05-Highest","01-Yes","01-Dem","03-Moderate",1,0,0,0.23241160144857,0.354320821769775,0.0337243201271125,"1-Dem",73
"61","landline",9,61,"05-60to69","01-female","03-assoc","02-N","W","04-jewish","06-50to75k","2","01-Both","PA","Northeast","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.0997595181658329,0.128666702880571,0.0108496095298505,"1-Dem",61
"83","landline",9,83,"06-Over 70","01-female","01-postgrad","02-N","W","01-protestant","99-DK/refused","1","02-LL only","MD","South","04","01-Yes","01-Dem","04-Conservative",1,0,0,0.342955004184184,0.880146272453232,0.129242507028469,"1-Dem",83
"85","landline",9,85,"06-Over 70","01-female","04-HS","02-N","W","02-catholic","99-DK/refused","2","01-Both","VT","Northeast","01-Lowest","01-Yes","03-Lean Dem","02-Liberal",1,0,0,0.365063684731306,0.670975245532613,0.242094607064791,"1-Dem",85
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","01-female","01-postgrad","02-N","W","01-protestant","99-DK/refused","2","01-Both","NY","Northeast","02","01-Yes","02-Rep","02-Liberal",0,0,1,0,0.130108474362998,0.000467956725632936,"3-Other",51.9755339805825
"39","landline",9,39,"02-30to39","01-female","03-assoc","01-Y","O","01-protestant","02-10to20k","2","01-Both","TN","South","02","02-Probably","03-Lean Dem","03-Moderate",1,0,0,-0.143435967852518,0.0131329051082989,0.088995288590424,"1-Dem",39
"83","landline",9,83,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","99-DK/refused","2","01-Both","MA","Northeast","03","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.342955004184184,0.621004983323731,0.129242507028469,"1-Dem",83
"56","landline",9,56,"04-50to59","02-male","03-assoc","02-N","W","01-protestant","06-50to75k","3","01-Both","GA","South","05-Highest","01-Yes","04-Lean Rep","03-Moderate",0,1,0,0.0444878167980259,0.0787279446395153,0.00272354644866792,"2-Rep",56
"64","landline",9,64,"05-60to69","01-female","02-bach","02-N","W","01-protestant","03-20to30k","2","01-Both","WV","South","02","01-Yes","01-Dem","03-Moderate",1,0,0,0.132922538986517,0.478856517718527,0.00585321660285045,"1-Dem",64
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","02-male","03-assoc","02-N","W","01-protestant","04-30to40k","2","01-Both","SC","South","03","01-Yes","04-Lean Rep","03-Moderate",0,1,0,0,0.0322954646984505,0.00344745130156356,"2-Rep",51.9755339805825
"77","landline",9,77,"06-Over 70","01-female","04-HS","02-N","W","01-protestant","99-DK/refused","2","01-Both","NC","South","03","01-Yes","02-Rep","03-Moderate",0,1,0,0.276628962542815,0.459455824898157,0.0194587967903952,"2-Rep",77
"38","landline",9,38,"02-30to39","01-female","01-postgrad","02-N","B","01-protestant","08-100to150k","3","01-Both","NY","Northeast","05-Highest","01-Yes","01-Dem","01-Very liberal",1,0,0,-0.154490308126079,0.0507478093234416,0.237812624231539,"1-Dem",38
"79","landline",9,79,"06-Over 70","01-female","03-assoc","02-N","B","01-protestant","03-20to30k","1","01-Both","NC","South","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.298737643089938,0.514058703547362,0.914487870218882,"1-Dem",79
"62","landline",9,62,"05-60to69","01-female","03-assoc","02-N","W","02-catholic","99-DK/refused","3","02-LL only","MI","Midwest","04","03-No","02-Rep","04-Conservative",0,1,0,0.110813858439394,0.141436766103182,1.56439724180568e-05,"2-Rep",62
"82","landline",9,82,"06-Over 70","02-male","01-postgrad","02-N","W","01-protestant","99-DK/refused","1","02-LL only","FL","South","02","02-Probably","05-Ind","04-Conservative",0,1,0,0.331900663910622,0.594939781182119,0.0933885949934731,"2-Rep",82
"53","landline",9,53,"04-50to59","01-female","02-bach","02-N","W","07-other","09-over150k","5","01-Both","NY","Northeast","05-Highest","03-No","03-Lean Dem","01-Very liberal",1,0,0,0.0113247959773417,0.21620304347104,0.00673472775493941,"1-Dem",53
"60","landline",9,60,"05-60to69","01-female","03-assoc","02-N","W","01-protestant","04-30to40k","1","01-Both","NC","South","04","01-Yes","02-Rep","04-Conservative",0,1,0,0.0887051778922715,0.116892647014824,0.0136349230436061,"2-Rep",60
"64","landline",9,64,"05-60to69","02-male","03-assoc","02-N","W","02-catholic","99-DK/refused","2","01-Both","NY","Northeast","01-Lowest","01-Yes","04-Lean Rep","04-Conservative",0,1,0,0.132922538986517,0.17014155166624,0.00111080356179711,"2-Rep",64
"67","landline",9,67,"05-60to69","02-male","02-bach","02-N","W","07-other","09-over150k","2","01-Both","MA","Northeast","04","01-Yes","03-Lean Dem","02-Liberal",1,0,0,0.166085559807201,0.560588406229041,0.0660277868648398,"1-Dem",67
"82","landline",9,82,"06-Over 70","01-female","03-assoc","02-N","B","07-other","99-DK/refused","1","01-Both","OH","Midwest","04","01-Yes","01-Dem","99-DK/refused",1,0,0,0.331900663910622,0.594939781182119,0.849035374465927,"1-Dem",82
"32","landline",9,32,"02-30to39","01-female","04-HS","02-N","W","01-protestant","03-20to30k","3","02-LL only","NC","South","02","03-No","02-Rep","03-Moderate",0,1,0,-0.220816349767448,0.00614986882127488,0.000493967200892197,"2-Rep",32
"43","landline",9,43,"03-40to49","01-female","02-bach","02-N","W","01-protestant","99-DK/refused","4","01-Both","VA","South","03","01-Yes","01-Dem","03-Moderate",1,0,0,-0.0992186067582722,0.0845673881330031,0.00205657650400156,"1-Dem",43
"70","landline",9,70,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","08-100to150k","2","01-Both","DE","South","02","01-Yes","01-Dem","03-Moderate",1,0,0,0.199248580627885,0.283274855188801,0.0839781814987475,"1-Dem",70
"73","landline",9,73,"06-Over 70","02-male","03-assoc","02-N","O","01-protestant","08-100to150k","3","02-LL only","GA","South","04","01-Yes","04-Lean Rep","03-Moderate",0,0,1,0.23241160144857,0.354320821769775,0.334352757798946,"3-Other",73
"73","landline",9,73,"06-Over 70","02-male","02-bach","02-N","W","02-catholic","99-DK/refused","2","01-Both","FL","South","02","01-Yes","02-Rep","04-Conservative",0,1,0,0.23241160144857,0.710928957628105,0.00654884238143566,"2-Rep",73
"56","landline",9,56,"04-50to59","01-female","01-postgrad","02-N","W","01-protestant","06-50to75k","1","01-Both","VA","South","01-Lowest","01-Yes","04-Lean Rep","03-Moderate",1,0,0,0.0444878167980259,0.276926807411488,0.0197802436328804,"1-Dem",56
"55","landline",9,55,"04-50to59","01-female","04-HS","02-N","W","01-protestant","03-20to30k","2","02-LL only","NY","Northeast","02","03-No","06-None","99-DK/refused",0,0,1,0.0334334765244645,0.0711505367293473,0.000130335444194318,"3-Other",55
"77","landline",9,77,"06-Over 70","01-female","01-postgrad","02-N","W","01-protestant","99-DK/refused","2","01-Both","CT","Northeast","03","01-Yes","01-Dem","02-Liberal",1,0,0,0.276628962542815,0.792072989017712,0.0194587967903952,"1-Dem",77
"70","landline",9,70,"06-Over 70","01-female","01-postgrad","02-N","W","04-jewish","07-75to100k","2","01-Both","VT","Northeast","01-Lowest","01-Yes","01-Dem","03-Moderate",1,0,0,0.199248580627885,0.639161165174902,0.0616403565429444,"1-Dem",70
"76","landline",9,76,"06-Over 70","01-female","02-bach","02-N","W","01-protestant","04-30to40k","1","01-Both","TX","South","04","01-Yes","01-Dem","01-Very liberal",1,0,0,0.265574622269254,0.773481447526015,0.229121560423995,"1-Dem",76
"53","landline",9,53,"04-50to59","02-male","03-assoc","02-N","W","07-other","01-under10k","2","02-LL only","MN","Midwest","01-Lowest","01-Yes","02-Rep","03-Moderate",0,1,0,0.0113247959773417,0.05797980128283,0.000470903171980249,"2-Rep",53
"74","landline",9,74,"06-Over 70","01-female","04-HS","02-N","W","01-protestant","99-DK/refused","1","01-Both","AR","South","01-Lowest","01-Yes","02-Rep","05-Very conservative",0,1,0,0.243465941722131,0.379726707746418,0.0226580013628505,"2-Rep",74
"74","landline",9,74,"06-Over 70","01-female","04-HS","02-N","W","01-protestant","99-DK/refused","2","01-Both","KS","Midwest","03","01-Yes","02-Rep","04-Conservative",0,1,0,0.243465941722131,0.379726707746418,0.00845653231172483,"2-Rep",74
"49","landline",9,49,"03-40to49","02-male","04-HS","02-N","W","02-catholic","03-20to30k","1","01-Both","IA","Midwest","02","01-Yes","01-Dem","02-Liberal",1,0,0,-0.0328925651169039,0.038217366856534,0.00705439269702553,"1-Dem",49
"68","landline",9,68,"05-60to69","02-male","02-bach","02-N","W","07-other","99-DK/refused","1","01-Both","TX","South","02","01-Yes","05-Ind","04-Conservative",0,1,0,0.177139900080763,0.241026864270958,0.00588021832354953,"2-Rep",68
"72","landline",9,72,"06-Over 70","01-female","01-postgrad","02-N","W","06-LDS","03-20to30k","2","01-Both","MO","Midwest","05-Highest","01-Yes","04-Lean Rep","03-Moderate",0,1,0,0.221357261175008,0.687940488700484,0.0265753475325194,"2-Rep",72
"58","landline",9,58,"04-50to59","01-female","02-bach","02-N","W","07-other","07-75to100k","2","01-Both","MN","Midwest","02","01-Yes","01-Dem","02-Liberal",1,0,0,0.0665964973451487,0.322791191587783,0.0115493559453729,"1-Dem",58
"37","landline",9,37,"02-30to39","01-female","03-assoc","02-N","B","01-protestant","05-40to50k","3","01-Both","IL","Midwest","02","01-Yes","01-Dem","04-Conservative",1,0,0,-0.165544648399641,0.0105795376158914,0.120099575826505,"1-Dem",37
"68","landline",9,68,"05-60to69","01-female","04-HS","02-N","W","01-protestant","03-20to30k","1","02-LL only","OK","South","04","01-Yes","01-Dem","04-Conservative",1,0,0,0.177139900080763,0.241026864270958,0.011389628330667,"1-Dem",68
"52","landline",9,52,"04-50to59","01-female","04-HS","02-N","W","01-protestant","03-20to30k","4","01-Both","TN","South","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.00027045570378032,0.0522860246388244,0.00669287473432263,"1-Dem",52
"80","landline",9,80,"06-Over 70","02-male","05-less than HS","02-N","W","01-protestant","99-DK/refused","Don't know/Refused","01-Both","TN","South","01-Lowest","01-Yes","02-Rep","04-Conservative",0,1,0,0.309791983363499,0.541315888538384,0.122648136144499,"2-Rep",80
"60","landline",9,60,"05-60to69","01-female","03-assoc","02-N","W","06-LDS","07-75to100k","1","01-Both","IA","Midwest","01-Lowest","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.0887051778922715,0.116892647014824,0.0362150931439901,"1-Dem",60
"83","landline",9,83,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","02-10to20k","2","01-Both","AR","South","02","01-Yes","01-Dem","03-Moderate",1,0,0,0.342955004184184,0.621004983323731,0.360236079295267,"1-Dem",83
"69","landline",9,69,"05-60to69","01-female","05-less than HS","02-N","W","01-protestant","04-30to40k","2","01-Both","IL","Midwest","01-Lowest","01-Yes","01-Dem","04-Conservative",1,0,0,0.188194240354324,0.261600517833208,0.0192176127945729,"1-Dem",69
"64","landline",9,64,"05-60to69","02-male","02-bach","02-N","W","01-protestant","07-75to100k","2","01-Both","TN","South","01-Lowest","01-Yes","02-Rep","05-Very conservative",0,1,0,0.132922538986517,0.478856517718527,0.0218479042158119,"2-Rep",64
"80","landline",9,80,"06-Over 70","02-male","03-assoc","02-N","W","01-protestant","99-DK/refused","2","01-Both","TX","South","01-Lowest","01-Yes","04-Lean Rep","05-Very conservative",0,1,0,0.309791983363499,0.541315888538384,0.0489117802590433,"2-Rep",80
"73","landline",9,73,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","04-30to40k","3","01-Both","TN","South","02","01-Yes","02-Rep","04-Conservative",0,0,1,0.23241160144857,0.354320821769775,0.0176035112113299,"3-Other",73
"56","landline",9,56,"04-50to59","02-male","04-HS","02-N","W","01-protestant","02-10to20k","1","02-LL only","TN","South","02","01-Yes","02-Rep","05-Very conservative",0,1,0,0.0444878167980259,0.0787279446395153,0.00195301411156541,"2-Rep",56
"63","landline",9,63,"05-60to69","01-female","03-assoc","02-N","W","02-catholic","06-50to75k","5","01-Both","IL","Midwest","05-Highest","01-Yes","04-Lean Rep","03-Moderate",0,0,1,0.121868198712956,0.155248427259662,0.0365161431460333,"3-Other",63
"90","landline",9,90,"06-Over 70","01-female","02-bach","02-N","W","02-catholic","09-over150k","2","02-LL only","OK","South","01-Lowest","01-Yes","01-Dem","01-Very liberal",1,0,0,0.420335386099113,0.940450844441451,0.974690948036081,"1-Dem",90
"56","landline",9,56,"04-50to59","01-female","04-HS","02-N","W","01-protestant","04-30to40k","4","02-LL only","AL","South","01-Lowest","01-Yes","02-Rep","04-Conservative",0,1,0,0.0444878167980259,0.0787279446395153,0.00379692419664375,"2-Rep",56
"70","landline",9,70,"06-Over 70","02-male","01-postgrad","02-N","W","01-protestant","08-100to150k","3","01-Both","TX","South","05-Highest","01-Yes","01-Dem","02-Liberal",1,0,0,0.199248580627885,0.639161165174902,0.0326257634368667,"1-Dem",70
"45","landline",9,45,"03-40to49","01-female","04-HS","02-N","W","01-protestant","03-20to30k","6","01-Both","LA","South","01-Lowest","01-Yes","01-Dem","05-Very conservative",1,0,0,-0.0771099262111495,0.0250121125210471,0.00893445054023666,"1-Dem",45
"50","landline",9,50,"04-50to59","01-female","01-postgrad","02-N","W","01-protestant","08-100to150k","2","01-Both","KY","South","01-Lowest","01-Yes","01-Dem","03-Moderate",1,0,0,-0.0218382248433425,0.165742486294236,0.0132557135577461,"1-Dem",50
"84","landline",9,84,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","01-under10k","Don't know/Refused","02-LL only","IL","Midwest","01-Lowest","01-Yes","02-Rep","99-DK/refused",0,1,0,0.354009344457745,0.646389823239486,0.370415497954028,"2-Rep",84
"55","landline",9,55,"04-50to59","01-female","03-assoc","02-N","O","02-catholic","99-DK/refused","2","02-LL only","IL","Midwest","03","01-Yes","02-Rep","04-Conservative",0,1,0,0.0334334765244645,0.0711505367293473,0.00364068748899984,"2-Rep",55
"58","landline",9,58,"04-50to59","02-male","01-postgrad","02-N","W","07-other","07-75to100k","3","01-Both","AK","West","01-Lowest","01-Yes","01-Dem","02-Liberal",1,0,0,0.0665964973451487,0.322791191587783,0.00428001724218269,"1-Dem",58
"81","landline",9,81,"06-Over 70","02-male","03-assoc","02-N","W","01-protestant","03-20to30k","2","02-LL only","MN","Midwest","05-Highest","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.320846323637061,0.568328041518681,0.123512160332103,"1-Dem",81
"71","landline",9,71,"06-Over 70","02-male","03-assoc","02-N","W","01-protestant","06-50to75k","2","01-Both","TX","South","01-Lowest","01-Yes","02-Rep","05-Very conservative",0,1,0,0.210302920901447,0.306000781593628,0.0554893219818388,"2-Rep",71
"77","landline",9,77,"06-Over 70","02-male","01-postgrad","02-N","W","01-protestant","08-100to150k","2","01-Both","CO","West","02","01-Yes","03-Lean Dem","02-Liberal",1,0,0,0.276628962542815,0.792072989017712,0.357444729660105,"1-Dem",77
"46","landline",9,46,"03-40to49","01-female","03-assoc","02-N","W","06-LDS","07-75to100k","6","01-Both","UT","West","01-Lowest","01-Yes","02-Rep","05-Very conservative",0,1,0,-0.0660555859375881,0.0278230441652168,0.0306788551390011,"2-Rep",46
"65","landline",9,65,"05-60to69","02-male","04-HS","02-N","W","01-protestant","02-10to20k","1","01-Both","CO","West","01-Lowest","01-Yes","04-Lean Rep","05-Very conservative",0,1,0,0.143976879260078,0.186148557931275,0.0131466751471561,"2-Rep",65
"71","landline",9,71,"06-Over 70","02-male","02-bach","02-N","W","07-other","08-100to150k","2","01-Both","CO","West","03","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.210302920901447,0.66398791487836,0.102678660981285,"1-Dem",71
"89","landline",9,89,"06-Over 70","02-male","02-bach","02-N","W","07-other","05-40to50k","1","01-Both","WA","West","04","01-Yes","01-Dem","03-Moderate",1,0,0,0.409281045825552,0.934021200407184,0.979539525170037,"1-Dem",89
"68","landline",9,68,"05-60to69","01-female","03-assoc","02-N","W","04-jewish","02-10to20k","1","02-LL only","WA","West","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.177139900080763,0.241026864270958,0.00818745937073851,"1-Dem",68
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","01-female","03-assoc","02-N","W","02-catholic","09-over150k","Don't know/Refused","01-Both","AZ","West","03","99-DNK/refused","99-DK/refused","99-DK/refused",1,0,0,0,0.00165880108017442,0.0474258731775668,"1-Dem",51.9755339805825
"58","landline",9,58,"04-50to59","01-female","02-bach","02-N","W","01-protestant","99-DK/refused","2","01-Both","CA","West","02","01-Yes","04-Lean Rep","04-Conservative",0,1,0,0.0665964973451487,0.322791191587783,0.000581388938222976,"2-Rep",58
"87","landline",9,87,"06-Over 70","02-male","02-bach","02-N","W","06-LDS","04-30to40k","1","01-Both","CA","West","04","01-Yes","05-Ind","03-Moderate",0,0,1,0.387172365278429,0.717355672392234,0.935419290085724,"3-Other",87
"80","landline",9,80,"06-Over 70","01-female","02-bach","02-N","W","01-protestant","08-100to150k","2","01-Both","CA","West","04","01-Yes","01-Dem","02-Liberal",0,0,1,0.309791983363499,0.840993820127603,0.590430369085168,"3-Other",80
"78","landline",9,78,"06-Over 70","01-female","02-bach","02-N","W","07-other","04-30to40k","4","01-Both","CA","West","05-Highest","02-Probably","02-Rep","04-Conservative",0,1,0,0.287683302816377,0.809514412002798,0.35106382555813,"2-Rep",78
"50","landline",9,50,"04-50to59","02-male","01-postgrad","02-N","W","01-protestant","09-over150k","5","01-Both","AK","West","02","01-Yes","03-Lean Dem","02-Liberal",1,0,0,-0.0218382248433425,0.165742486294236,0.0484920156449749,"1-Dem",50
"45","landline",9,45,"03-40to49","01-female","02-bach","02-N","W","02-catholic","06-50to75k","2","02-LL only","MI","Midwest","01-Lowest","01-Yes","03-Lean Dem","03-Moderate",1,0,0,-0.0771099262111495,0.10311665905274,0.00330546880236255,"1-Dem",45
"30","landline",9,30,"02-30to39","02-male","03-assoc","02-N","O","07-other","02-10to20k","2","01-Both","KY","South","04","03-No","03-Lean Dem","04-Conservative",1,0,0,-0.24292503031457,0.00494737311693968,0.0798878141498234,"1-Dem",30
"48","landline",9,48,"03-40to49","02-male","05-less than HS","02-N","W","07-other","01-under10k","4","02-LL only","MI","Midwest","02","01-Yes","04-Lean Rep","03-Moderate",0,1,0,-0.0439469053904653,0.0343934593476548,0.00139689987461686,"2-Rep",48
"61","landline",9,61,"05-60to69","02-male","03-assoc","02-N","W","02-catholic","06-50to75k","1","01-Both","OH","Midwest","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.0997595181658329,0.128666702880571,0.028952543232399,"1-Dem",61
"85","landline",9,85,"06-Over 70","01-female","04-HS","02-N","W","01-protestant","02-10to20k","3","01-Both","CT","Northeast","02","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.365063684731306,0.670975245532613,0.308338888908524,"1-Dem",85
"70","landline",9,70,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","05-40to50k","2","01-Both","MI","Midwest","01-Lowest","01-Yes","03-Lean Dem","02-Liberal",1,0,0,0.199248580627885,0.283274855188801,0.0326257634368667,"1-Dem",70
"66","landline",9,66,"05-60to69","02-male","03-assoc","02-N","W","01-protestant","05-40to50k","2","01-Both","IN","Midwest","02","01-Yes","02-Rep","04-Conservative",0,1,0,0.15503121953364,0.203292595819221,0.0154205781516088,"2-Rep",66
"71","landline",9,71,"06-Over 70","01-female","03-assoc","02-N","B","01-protestant","08-100to150k","2","01-Both","GA","South","04","01-Yes","01-Dem","04-Conservative",1,0,0,0.210302920901447,0.306000781593628,0.696817853701719,"1-Dem",71
"90","landline",9,90,"06-Over 70","01-female","02-bach","01-Y","W","07-other","05-40to50k","1","01-Both","CT","Northeast","02","01-Yes","01-Dem","01-Very liberal",1,0,0,0.420335386099113,0.940450844441451,0.986843882507453,"1-Dem",90
"44","landline",9,44,"03-40to49","01-female","02-bach","02-N","W","02-catholic","05-40to50k","5","01-Both","TN","South","03","01-Yes","02-Rep","05-Very conservative",0,1,0,-0.0881642664847108,0.093429941783637,0.0188401860360712,"2-Rep",44
"87","landline",9,87,"06-Over 70","01-female","01-postgrad","02-N","W","04-jewish","99-DK/refused","1","01-Both","MI","Midwest","04","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.387172365278429,0.919189281891973,0.662192280054291,"1-Dem",87
"73","landline",9,73,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","06-50to75k","2","01-Both","NC","South","04","01-Yes","02-Rep","03-Moderate",0,1,0,0.23241160144857,0.354320821769775,0.0866509662268354,"2-Rep",73
"53","landline",9,53,"04-50to59","02-male","04-HS","02-N","W","07-other","09-over150k","4","01-Both","VA","South","03","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.0113247959773417,0.05797980128283,0.0477103728639798,"1-Dem",53
"38","landline",9,38,"02-30to39","01-female","02-bach","02-N","W","07-other","07-75to100k","4","01-Both","MD","South","04","01-Yes","01-Dem","03-Moderate",1,0,0,-0.154490308126079,0.0507478093234416,0.0759955088092079,"1-Dem",38
"76","landline",9,76,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","03-20to30k","1","01-Both","FL","South","05-Highest","01-Yes","02-Rep","05-Very conservative",0,1,0,0.265574622269254,0.432434530694524,0.175576235765358,"2-Rep",76
