"age","demo_mode","month_called","age_num","demo_age_bucket","demo_sex","demo_education","demo_hispanic","demo_race","demo_relig","demo_income","demo_hhsize","demo_phonetype","demo_state","demo_region","demo_pop_density","demo_reg","demo_party","demo_ideology","y_dem","y_rep","y_oth","age_scaled","p_surveyed","p_matched","support","age_num_imp"
"83","landline",9,83,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","99-DK/refused","2","01-Both","MA","Northeast","03","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.342955004184184,0.801200755078595,0.67417941297502,"1-Dem",83
"56","landline",9,56,"04-50to59","02-male","03-assoc","02-N","W","01-protestant","06-50to75k","3","01-Both","GA","South","05-Highest","01-Yes","04-Lean Rep","03-Moderate",0,1,0,0.0444878167980259,0.173681488061823,0.363603637691299,"2-Rep",56
"64","landline",9,64,"05-60to69","01-female","02-bach","02-N","W","01-protestant","03-20to30k","2","01-Both","WV","South","02","01-Yes","01-Dem","03-Moderate",1,0,0,0.132922538986517,0.693253828716924,0.578196840185943,"1-Dem",64
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","02-male","03-assoc","02-N","W","01-protestant","04-30to40k","2","01-Both","SC","South","03","01-Yes","04-Lean Rep","03-Moderate",0,1,0,0,0.0758581800212436,0.339243631234183,"2-Rep",51.9755339805825
"77","landline",9,77,"06-Over 70","01-female","04-HS","02-N","W","01-protestant","99-DK/refused","2","01-Both","NC","South","03","01-Yes","02-Rep","03-Moderate",0,1,0,0.276628962542815,0.676441587302752,0.517692552475654,"2-Rep",77
"38","landline",9,38,"02-30to39","01-female","01-postgrad","02-N","B","01-protestant","08-100to150k","3","01-Both","NY","Northeast","05-Highest","01-Yes","01-Dem","01-Very liberal",1,0,0,-0.154490308126079,0.116211491561933,0.00767456583260665,"1-Dem",38
"79","landline",9,79,"06-Over 70","01-female","03-assoc","02-N","B","01-protestant","03-20to30k","1","01-Both","NC","South","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.298737643089938,0.722370292747803,0.489064154486596,"1-Dem",79
"62","landline",9,62,"05-60to69","01-female","03-assoc","02-N","W","02-catholic","99-DK/refused","3","02-LL only","MI","Midwest","04","03-No","02-Rep","04-Conservative",0,1,0,0.110813858439394,0.288350738348414,0.0102510187478234,"2-Rep",62
"82","landline",9,82,"06-Over 70","02-male","01-postgrad","02-N","W","01-protestant","99-DK/refused","1","02-LL only","FL","South","02","02-Probably","05-Ind","04-Conservative",0,1,0,0.331900663910622,0.78320197409332,0.834485668251873,"2-Rep",82
"53","landline",9,53,"04-50to59","01-female","02-bach","02-N","W","07-other","09-over150k","5","01-Both","NY","Northeast","05-Highest","03-No","03-Lean Dem","01-Very liberal",1,0,0,0.0113247959773417,0.404215223614089,0.527987708975284,"1-Dem",53
"60","landline",9,60,"05-60to69","01-female","03-assoc","02-N","W","01-protestant","04-30to40k","1","01-Both","NC","South","04","01-Yes","02-Rep","04-Conservative",0,1,0,0.0887051778922715,0.24560513805084,0.770501044003334,"2-Rep",60
"64","landline",9,64,"05-60to69","02-male","03-assoc","02-N","W","02-catholic","99-DK/refused","2","01-Both","NY","Northeast","01-Lowest","01-Yes","04-Lean Rep","04-Conservative",0,1,0,0.132922538986517,0.335229968384896,0.205659379231329,"2-Rep",64
"67","landline",9,67,"05-60to69","02-male","02-bach","02-N","W","07-other","09-over150k","2","01-Both","MA","Northeast","04","01-Yes","03-Lean Dem","02-Liberal",1,0,0,0.166085559807201,0.758330902498158,0.933612359198492,"1-Dem",67
"82","landline",9,82,"06-Over 70","01-female","03-assoc","02-N","B","07-other","99-DK/refused","1","01-Both","OH","Midwest","04","01-Yes","01-Dem","99-DK/refused",1,0,0,0.331900663910622,0.78320197409332,0.200649130989034,"1-Dem",82
"32","landline",9,32,"02-30to39","01-female","04-HS","02-N","W","01-protestant","03-20to30k","3","02-LL only","NC","South","02","03-No","02-Rep","03-Moderate",0,1,0,-0.220816349767448,0.0149916657820483,0.00205554690514378,"2-Rep",32
"43","landline",9,43,"03-40to49","01-female","02-bach","02-N","W","01-protestant","99-DK/refused","4","01-Both","VA","South","03","01-Yes","01-Dem","03-Moderate",1,0,0,-0.0992186067582722,0.185148445400672,0.0660806135214157,"1-Dem",43
"70","landline",9,70,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","08-100to150k","2","01-Both","DE","South","02","01-Yes","01-Dem","03-Moderate",1,0,0,0.199248580627885,0.492931775774299,0.933291916023374,"1-Dem",70
"73","landline",9,73,"06-Over 70","02-male","03-assoc","02-N","O","01-protestant","08-100to150k","3","02-LL only","GA","South","04","01-Yes","04-Lean Rep","03-Moderate",0,0,1,0.23241160144857,0.574418077302156,0.26241902767393,"3-Other",73
"73","landline",9,73,"06-Over 70","02-male","02-bach","02-N","W","02-catholic","99-DK/refused","2","01-Both","FL","South","02","01-Yes","02-Rep","04-Conservative",0,1,0,0.23241160144857,0.858136764968206,0.409322545752296,"2-Rep",73
"56","landline",9,56,"04-50to59","01-female","01-postgrad","02-N","W","01-protestant","06-50to75k","1","01-Both","VA","South","01-Lowest","01-Yes","04-Lean Rep","03-Moderate",1,0,0,0.0444878167980259,0.485065140632601,0.808492245503641,"1-Dem",56
"55","landline",9,55,"04-50to59","01-female","04-HS","02-N","W","01-protestant","03-20to30k","2","02-LL only","NY","Northeast","02","03-No","06-None","99-DK/refused",0,0,1,0.0334334765244645,0.158537696784536,0.064818545814489,"3-Other",55
"77","landline",9,77,"06-Over 70","01-female","01-postgrad","02-N","W","01-protestant","99-DK/refused","2","01-Both","CT","Northeast","03","01-Yes","01-Dem","02-Liberal",1,0,0,0.276628962542815,0.90356391885567,0.517692552475654,"1-Dem",77
"70","landline",9,70,"06-Over 70","01-female","01-postgrad","02-N","W","04-jewish","07-75to100k","2","01-Both","VT","Northeast","01-Lowest","01-Yes","01-Dem","03-Moderate",1,0,0,0.199248580627885,0.81331946928576,0.909295120522171,"1-Dem",70
"76","landline",9,76,"06-Over 70","01-female","02-bach","02-N","W","01-protestant","04-30to40k","1","01-Both","TX","South","04","01-Yes","01-Dem","01-Very liberal",1,0,0,0.265574622269254,0.893602107202506,0.950799909015283,"1-Dem",76
"53","landline",9,53,"04-50to59","02-male","03-assoc","02-N","W","07-other","01-under10k","2","02-LL only","MN","Midwest","01-Lowest","01-Yes","02-Rep","03-Moderate",0,1,0,0.0113247959773417,0.131480438987767,0.174423066968244,"2-Rep",53
"74","landline",9,74,"06-Over 70","01-female","04-HS","02-N","W","01-protestant","99-DK/refused","1","01-Both","AR","South","01-Lowest","01-Yes","02-Rep","05-Very conservative",0,1,0,0.243465941722131,0.600918012605508,0.677569596325893,"2-Rep",74
"74","landline",9,74,"06-Over 70","01-female","04-HS","02-N","W","01-protestant","99-DK/refused","2","01-Both","KS","Midwest","03","01-Yes","02-Rep","04-Conservative",0,1,0,0.243465941722131,0.600918012605508,0.436009091201837,"2-Rep",74
"49","landline",9,49,"03-40to49","02-male","04-HS","02-N","W","02-catholic","03-20to30k","1","01-Both","IA","Midwest","02","01-Yes","01-Dem","02-Liberal",1,0,0,-0.0328925651169039,0.0890330936889928,0.419336325898688,"1-Dem",49
"68","landline",9,68,"05-60to69","02-male","02-bach","02-N","W","07-other","99-DK/refused","1","01-Both","TX","South","02","01-Yes","05-Ind","04-Conservative",0,1,0,0.177139900080763,0.438547761193379,0.521555468132372,"2-Rep",68
"72","landline",9,72,"06-Over 70","01-female","01-postgrad","02-N","W","06-LDS","03-20to30k","2","01-Both","MO","Midwest","05-Highest","01-Yes","04-Lean Rep","03-Moderate",0,1,0,0.221357261175008,0.844291010909127,0.766831983168213,"2-Rep",72
"58","landline",9,58,"04-50to59","01-female","02-bach","02-N","W","07-other","07-75to100k","2","01-Both","MN","Midwest","02","01-Yes","01-Dem","02-Liberal",1,0,0,0.0665964973451487,0.539672924761935,0.729553681169005,"1-Dem",58
"37","landline",9,37,"02-30to39","01-female","03-assoc","02-N","B","01-protestant","05-40to50k","3","01-Both","IL","Midwest","02","01-Yes","01-Dem","04-Conservative",1,0,0,-0.165544648399641,0.0256257526579297,0.00254384623142064,"1-Dem",37
"68","landline",9,68,"05-60to69","01-female","04-HS","02-N","W","01-protestant","03-20to30k","1","02-LL only","OK","South","04","01-Yes","01-Dem","04-Conservative",1,0,0,0.177139900080763,0.438547761193379,0.852323491918301,"1-Dem",68
"52","landline",9,52,"04-50to59","01-female","04-HS","02-N","W","01-protestant","03-20to30k","4","01-Both","TN","South","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.00027045570378032,0.119484210955876,0.500669093867462,"1-Dem",52
"80","landline",9,80,"06-Over 70","02-male","05-less than HS","02-N","W","01-protestant","99-DK/refused","Don't know/Refused","01-Both","TN","South","01-Lowest","01-Yes","02-Rep","04-Conservative",0,1,0,0.309791983363499,0.743767117426883,0.802021118904956,"2-Rep",80
"60","landline",9,60,"05-60to69","01-female","03-assoc","02-N","W","06-LDS","07-75to100k","1","01-Both","IA","Midwest","01-Lowest","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.0887051778922715,0.24560513805084,0.901245660747684,"1-Dem",60
"83","landline",9,83,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","02-10to20k","2","01-Both","AR","South","02","01-Yes","01-Dem","03-Moderate",1,0,0,0.342955004184184,0.801200755078595,0.88700256120368,"1-Dem",83
"69","landline",9,69,"05-60to69","01-female","05-less than HS","02-N","W","01-protestant","04-30to40k","2","01-Both","IL","Midwest","01-Lowest","01-Yes","01-Dem","04-Conservative",1,0,0,0.188194240354324,0.465637656846142,0.767753061366899,"1-Dem",69
"64","landline",9,64,"05-60to69","02-male","02-bach","02-N","W","01-protestant","07-75to100k","2","01-Both","TN","South","01-Lowest","01-Yes","02-Rep","05-Very conservative",0,1,0,0.132922538986517,0.693253828716924,0.83871648344862,"2-Rep",64
"80","landline",9,80,"06-Over 70","02-male","03-assoc","02-N","W","01-protestant","99-DK/refused","2","01-Both","TX","South","01-Lowest","01-Yes","04-Lean Rep","05-Very conservative",0,1,0,0.309791983363499,0.743767117426883,0.598441266172814,"2-Rep",80
"73","landline",9,73,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","04-30to40k","3","01-Both","TN","South","02","01-Yes","02-Rep","04-Conservative",0,0,1,0.23241160144857,0.574418077302156,0.653222254797514,"3-Other",73
"56","landline",9,56,"04-50to59","02-male","04-HS","02-N","W","01-protestant","02-10to20k","1","02-LL only","TN","South","02","01-Yes","02-Rep","05-Very conservative",0,1,0,0.0444878167980259,0.173681488061823,0.526701935363125,"2-Rep",56
"63","landline",9,63,"05-60to69","01-female","03-assoc","02-N","W","02-catholic","06-50to75k","5","01-Both","IL","Midwest","05-Highest","01-Yes","04-Lean Rep","03-Moderate",0,0,1,0.121868198712956,0.31130700812439,0.900785590758521,"3-Other",63
"90","landline",9,90,"06-Over 70","01-female","02-bach","02-N","W","02-catholic","09-over150k","2","02-LL only","OK","South","01-Lowest","01-Yes","01-Dem","01-Very liberal",1,0,0,0.420335386099113,0.974902207372772,0.99428856557309,"1-Dem",90
"56","landline",9,56,"04-50to59","01-female","04-HS","02-N","W","01-protestant","04-30to40k","4","02-LL only","AL","South","01-Lowest","01-Yes","02-Rep","04-Conservative",0,1,0,0.0444878167980259,0.173681488061823,0.684293972081407,"2-Rep",56
"70","landline",9,70,"06-Over 70","02-male","01-postgrad","02-N","W","01-protestant","08-100to150k","3","01-Both","TX","South","05-Highest","01-Yes","01-Dem","02-Liberal",1,0,0,0.199248580627885,0.81331946928576,0.837316002317115,"1-Dem",70
"45","landline",9,45,"03-40to49","01-female","04-HS","02-N","W","01-protestant","03-20to30k","6","01-Both","LA","South","01-Lowest","01-Yes","01-Dem","05-Very conservative",1,0,0,-0.0771099262111495,0.0593530239816611,0.317981226558994,"1-Dem",45
"50","landline",9,50,"04-50to59","01-female","01-postgrad","02-N","W","01-protestant","08-100to150k","2","01-Both","KY","South","01-Lowest","01-Yes","01-Dem","03-Moderate",1,0,0,-0.0218382248433425,0.328250861427198,0.610772332443845,"1-Dem",50
"84","landline",9,84,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","01-under10k","Don't know/Refused","02-LL only","IL","Midwest","01-Lowest","01-Yes","02-Rep","99-DK/refused",0,1,0,0.354009344457745,0.818052398936512,0.944618784933375,"2-Rep",84
"55","landline",9,55,"04-50to59","01-female","03-assoc","02-N","O","02-catholic","99-DK/refused","2","02-LL only","IL","Midwest","03","01-Yes","02-Rep","04-Conservative",0,1,0,0.0334334765244645,0.158537696784536,0.00479289865240502,"2-Rep",55
"58","landline",9,58,"04-50to59","02-male","01-postgrad","02-N","W","07-other","07-75to100k","3","01-Both","AK","West","01-Lowest","01-Yes","01-Dem","02-Liberal",1,0,0,0.0665964973451487,0.539672924761935,0.498089840431409,"1-Dem",58
"81","landline",9,81,"06-Over 70","02-male","03-assoc","02-N","W","01-protestant","03-20to30k","2","02-LL only","MN","Midwest","05-Highest","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.320846323637061,0.764053521091042,0.897984939758061,"1-Dem",81
"71","landline",9,71,"06-Over 70","02-male","03-assoc","02-N","W","01-protestant","06-50to75k","2","01-Both","TX","South","01-Lowest","01-Yes","02-Rep","05-Very conservative",0,1,0,0.210302920901447,0.520268093122426,0.889054240897194,"2-Rep",71
"77","landline",9,77,"06-Over 70","02-male","01-postgrad","02-N","W","01-protestant","08-100to150k","2","01-Both","CO","West","02","01-Yes","03-Lean Dem","02-Liberal",1,0,0,0.276628962542815,0.90356391885567,0.967833455564668,"1-Dem",77
"46","landline",9,46,"03-40to49","01-female","03-assoc","02-N","W","06-LDS","07-75to100k","6","01-Both","UT","West","01-Lowest","01-Yes","02-Rep","05-Very conservative",0,1,0,-0.0660555859375881,0.0657629721151988,0.663662830186855,"2-Rep",46
"65","landline",9,65,"05-60to69","02-male","04-HS","02-N","W","01-protestant","02-10to20k","1","01-Both","CO","West","01-Lowest","01-Yes","04-Lean Rep","05-Very conservative",0,1,0,0.143976879260078,0.36003026420392,0.748651633331065,"2-Rep",65
"71","landline",9,71,"06-Over 70","02-male","02-bach","02-N","W","07-other","08-100to150k","2","01-Both","CO","West","03","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.210302920901447,0.829362629042788,0.939788047455585,"1-Dem",71
"89","landline",9,89,"06-Over 70","02-male","02-bach","02-N","W","07-other","05-40to50k","1","01-Both","WA","West","04","01-Yes","01-Dem","03-Moderate",1,0,0,0.409281045825552,0.97208192247566,0.991135812877068,"1-Dem",89
"68","landline",9,68,"05-60to69","01-female","03-assoc","02-N","W","04-jewish","02-10to20k","1","02-LL only","WA","West","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.177139900080763,0.438547761193379,0.805277062679363,"1-Dem",68
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","01-female","03-assoc","02-N","W","02-catholic","09-over150k","Don't know/Refused","01-Both","AZ","West","03","99-DNK/refused","99-DK/refused","99-DK/refused",1,0,0,0,0.00407013771589613,0.880797077977882,"1-Dem",51.9755339805825
"58","landline",9,58,"04-50to59","01-female","02-bach","02-N","W","01-protestant","99-DK/refused","2","01-Both","CA","West","02","01-Yes","04-Lean Rep","04-Conservative",0,1,0,0.0665964973451487,0.539672924761935,0.118403031323089,"2-Rep",58
"87","landline",9,87,"06-Over 70","02-male","02-bach","02-N","W","06-LDS","04-30to40k","1","01-Both","CA","West","04","01-Yes","05-Ind","03-Moderate",0,0,1,0.387172365278429,0.861926334754249,0.984703488799377,"3-Other",87
"80","landline",9,80,"06-Over 70","01-female","02-bach","02-N","W","01-protestant","08-100to150k","2","01-Both","CA","West","04","01-Yes","01-Dem","02-Liberal",0,0,1,0.309791983363499,0.928617305341148,0.976622083116893,"3-Other",80
"78","landline",9,78,"06-Over 70","01-female","02-bach","02-N","W","07-other","04-30to40k","4","01-Both","CA","West","05-Highest","02-Probably","02-Rep","04-Conservative",0,1,0,0.287683302816377,0.912684163491451,0.960082000928934,"2-Rep",78
"50","landline",9,50,"04-50to59","02-male","01-postgrad","02-N","W","01-protestant","09-over150k","5","01-Both","AK","West","02","01-Yes","03-Lean Dem","02-Liberal",1,0,0,-0.0218382248433425,0.328250861427198,0.856176928425627,"1-Dem",50
"45","landline",9,45,"03-40to49","01-female","02-bach","02-N","W","02-catholic","06-50to75k","2","02-LL only","MI","Midwest","01-Lowest","01-Yes","03-Lean Dem","03-Moderate",1,0,0,-0.0771099262111495,0.220446748387667,0.317981226558994,"1-Dem",45
"30","landline",9,30,"02-30to39","02-male","03-assoc","02-N","O","07-other","02-10to20k","2","01-Both","KY","South","04","03-No","03-Lean Dem","04-Conservative",1,0,0,-0.24292503031457,0.0120813325772527,0.000160465324356082,"1-Dem",30
"48","landline",9,48,"03-40to49","02-male","05-less than HS","02-N","W","07-other","01-under10k","4","02-LL only","MI","Midwest","02","01-Yes","04-Lean Rep","03-Moderate",0,1,0,-0.0439469053904653,0.0805505571824091,0.24944832954087,"2-Rep",48
"61","landline",9,61,"05-60to69","02-male","03-assoc","02-N","W","02-catholic","06-50to75k","1","01-Both","OH","Midwest","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.0997595181658329,0.266432399924516,0.879446680636165,"1-Dem",61
"85","landline",9,85,"06-Over 70","01-female","04-HS","02-N","W","01-protestant","02-10to20k","3","01-Both","CT","Northeast","02","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.365063684731306,0.833771946110232,0.782324794126669,"1-Dem",85
"70","landline",9,70,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","05-40to50k","2","01-Both","MI","Midwest","01-Lowest","01-Yes","03-Lean Dem","02-Liberal",1,0,0,0.199248580627885,0.492931775774299,0.837316002317115,"1-Dem",70
"66","landline",9,66,"05-60to69","02-male","03-assoc","02-N","W","01-protestant","05-40to50k","2","01-Both","IN","Midwest","02","01-Yes","02-Rep","04-Conservative",0,1,0,0.15503121953364,0.385601049331338,0.768671598673685,"2-Rep",66
"71","landline",9,71,"06-Over 70","01-female","03-assoc","02-N","B","01-protestant","08-100to150k","2","01-Both","GA","South","04","01-Yes","01-Dem","04-Conservative",1,0,0,0.210302920901447,0.520268093122426,0.437278015501368,"1-Dem",71
"90","landline",9,90,"06-Over 70","01-female","02-bach","01-Y","W","07-other","05-40to50k","1","01-Both","CT","Northeast","02","01-Yes","01-Dem","01-Very liberal",1,0,0,0.420335386099113,0.974902207372772,0.992047021019462,"1-Dem",90
"44","landline",9,44,"03-40to49","01-female","02-bach","02-N","W","02-catholic","05-40to50k","5","01-Both","TN","South","03","01-Yes","02-Rep","05-Very conservative",0,1,0,-0.0881642664847108,0.202223261206155,0.448733354749423,"2-Rep",44
"87","landline",9,87,"06-Over 70","01-female","01-postgrad","02-N","W","04-jewish","99-DK/refused","1","01-Both","MI","Midwest","04","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.387172365278429,0.965489861800633,0.897035927079926,"1-Dem",87
"73","landline",9,73,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","06-50to75k","2","01-Both","NC","South","04","01-Yes","02-Rep","03-Moderate",0,1,0,0.23241160144857,0.574418077302156,0.908868758893307,"2-Rep",73
"53","landline",9,53,"04-50to59","02-male","04-HS","02-N","W","07-other","09-over150k","4","01-Both","VA","South","03","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.0113247959773417,0.131480438987767,0.89207060112257,"1-Dem",53
"38","landline",9,38,"02-30to39","01-female","02-bach","02-N","W","07-other","07-75to100k","4","01-Both","MD","South","04","01-Yes","01-Dem","03-Moderate",1,0,0,-0.154490308126079,0.116211491561933,0.451286829825488,"1-Dem",38
"76","landline",9,76,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","03-20to30k","1","01-Both","FL","South","05-Highest","01-Yes","02-Rep","05-Very conservative",0,1,0,0.265574622269254,0.652052808522255,0.93264671727022,"2-Rep",76
