"age","demo_mode","month_called","age_num","demo_age_bucket","demo_sex","demo_education","demo_hispanic","demo_race","demo_relig","demo_income","demo_hhsize","demo_phonetype","demo_state","demo_region","demo_pop_density","demo_reg","demo_party","demo_ideology","y_dem","y_rep","y_oth","age_scaled","p_surveyed","p_matched"
"56","landline",9,56,"04-50to59","01-female","01-postgrad","02-N","W","01-protestant","06-50to75k","1","01-Both","VA","South","01-Lowest","01-Yes","04-Lean Rep","03-Moderate",1,0,0,0.220121393251465,0.485065140632601,0.808492245503641
"55","landline",9,55,"04-50to59","01-female","04-HS","02-N","W","01-protestant","03-20to30k","2","02-LL only","NY","Northeast","02","03-No","06-None","99-DK/refused",0,0,1,0.165425592072027,0.158537696784536,0.064818545814489
"77","landline",9,77,"06-Over 70","01-female","01-postgrad","02-N","W","01-protestant","99-DK/refused","2","01-Both","CT","Northeast","03","01-Yes","01-Dem","02-Liberal",1,0,0,1.36873321801968,0.90356391885567,0.517692552475654
"70","landline",9,70,"06-Over 70","01-female","01-postgrad","02-N","W","04-jewish","07-75to100k","2","01-Both","VT","Northeast","01-Lowest","01-Yes","01-Dem","03-Moderate",1,0,0,0.985862609763607,0.81331946928576,0.909295120522171
"76","landline",9,76,"06-Over 70","01-female","02-bach","02-N","W","01-protestant","04-30to40k","1","01-Both","TX","South","04","01-Yes","01-Dem","01-Very liberal",1,0,0,1.31403741684024,0.893602107202506,0.950799909015283
"53","landline",9,53,"04-50to59","02-male","03-assoc","02-N","W","07-other","01-under10k","2","02-LL only","MN","Midwest","01-Lowest","01-Yes","02-Rep","03-Moderate",0,1,0,0.0560339897131491,0.131480438987767,0.174423066968244
"74","landline",9,74,"06-Over 70","01-female","04-HS","02-N","W","01-protestant","99-DK/refused","1","01-Both","AR","South","01-Lowest","01-Yes","02-Rep","05-Very conservative",0,1,0,1.20464581448136,0.600918012605508,0.677569596325893
"74","landline",9,74,"06-Over 70","01-female","04-HS","02-N","W","01-protestant","99-DK/refused","2","01-Both","KS","Midwest","03","01-Yes","02-Rep","04-Conservative",0,1,0,1.20464581448136,0.600918012605508,0.436009091201837
"49","landline",9,49,"03-40to49","02-male","04-HS","02-N","W","02-catholic","03-20to30k","1","01-Both","IA","Midwest","02","01-Yes","01-Dem","02-Liberal",1,0,0,-0.162749215004606,0.0890330936889928,0.419336325898688
"68","landline",9,68,"05-60to69","02-male","02-bach","02-N","W","07-other","99-DK/refused","1","01-Both","TX","South","02","01-Yes","05-Ind","04-Conservative",0,1,0,0.876471007404729,0.438547761193379,0.521555468132372
"72","landline",9,72,"06-Over 70","01-female","01-postgrad","02-N","W","06-LDS","03-20to30k","2","01-Both","MO","Midwest","05-Highest","01-Yes","04-Lean Rep","03-Moderate",0,1,0,1.09525421212248,0.844291010909127,0.766831983168213
"58","landline",9,58,"04-50to59","01-female","02-bach","02-N","W","07-other","07-75to100k","2","01-Both","MN","Midwest","02","01-Yes","01-Dem","02-Liberal",1,0,0,0.329512995610343,0.539672924761935,0.729553681169005
"37","landline",9,37,"02-30to39","01-female","03-assoc","02-N","B","01-protestant","05-40to50k","3","01-Both","IL","Midwest","02","01-Yes","01-Dem","04-Conservative",1,0,0,-0.81909882915787,0.0256257526579297,0.00254384623142064
"68","landline",9,68,"05-60to69","01-female","04-HS","02-N","W","01-protestant","03-20to30k","1","02-LL only","OK","South","04","01-Yes","01-Dem","04-Conservative",1,0,0,0.876471007404729,0.438547761193379,0.852323491918301
"52","landline",9,52,"04-50to59","01-female","04-HS","02-N","W","01-protestant","03-20to30k","4","01-Both","TN","South","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.00133818853371045,0.119484210955876,0.500669093867462
"80","landline",9,80,"06-Over 70","02-male","05-less than HS","02-N","W","01-protestant","99-DK/refused","Don't know/Refused","01-Both","TN","South","01-Lowest","01-Yes","02-Rep","04-Conservative",0,1,0,1.53282062155799,0.743767117426883,0.802021118904956
"60","landline",9,60,"05-60to69","01-female","03-assoc","02-N","W","06-LDS","07-75to100k","1","01-Both","IA","Midwest","01-Lowest","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.43890459796922,0.24560513805084,0.901245660747684
"83","landline",9,83,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","02-10to20k","2","01-Both","AR","South","02","01-Yes","01-Dem","03-Moderate",1,0,0,1.69690802509631,0.801200755078595,0.88700256120368
"69","landline",9,69,"05-60to69","01-female","05-less than HS","02-N","W","01-protestant","04-30to40k","2","01-Both","IL","Midwest","01-Lowest","01-Yes","01-Dem","04-Conservative",1,0,0,0.931166808584168,0.465637656846142,0.767753061366899
"64","landline",9,64,"05-60to69","02-male","02-bach","02-N","W","01-protestant","07-75to100k","2","01-Both","TN","South","01-Lowest","01-Yes","02-Rep","05-Very conservative",0,1,0,0.657687802686975,0.693253828716924,0.83871648344862
"80","landline",9,80,"06-Over 70","02-male","03-assoc","02-N","W","01-protestant","99-DK/refused","2","01-Both","TX","South","01-Lowest","01-Yes","04-Lean Rep","05-Very conservative",0,1,0,1.53282062155799,0.743767117426883,0.598441266172814
"73","landline",9,73,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","04-30to40k","3","01-Both","TN","South","02","01-Yes","02-Rep","04-Conservative",0,0,1,1.14995001330192,0.574418077302156,0.653222254797514
"56","landline",9,56,"04-50to59","02-male","04-HS","02-N","W","01-protestant","02-10to20k","1","02-LL only","TN","South","02","01-Yes","02-Rep","05-Very conservative",0,1,0,0.220121393251465,0.173681488061823,0.526701935363125
"63","landline",9,63,"05-60to69","01-female","03-assoc","02-N","W","02-catholic","06-50to75k","5","01-Both","IL","Midwest","05-Highest","01-Yes","04-Lean Rep","03-Moderate",0,0,1,0.602992001507536,0.31130700812439,0.900785590758521
"90","landline",9,90,"06-Over 70","01-female","02-bach","02-N","W","02-catholic","09-over150k","2","02-LL only","OK","South","01-Lowest","01-Yes","01-Dem","01-Very liberal",1,0,0,2.07977863335238,0.974902207372772,0.99428856557309
"56","landline",9,56,"04-50to59","01-female","04-HS","02-N","W","01-protestant","04-30to40k","4","02-LL only","AL","South","01-Lowest","01-Yes","02-Rep","04-Conservative",0,1,0,0.220121393251465,0.173681488061823,0.684293972081407
"70","landline",9,70,"06-Over 70","02-male","01-postgrad","02-N","W","01-protestant","08-100to150k","3","01-Both","TX","South","05-Highest","01-Yes","01-Dem","02-Liberal",1,0,0,0.985862609763607,0.81331946928576,0.837316002317115
"45","landline",9,45,"03-40to49","01-female","04-HS","02-N","W","01-protestant","03-20to30k","6","01-Both","LA","South","01-Lowest","01-Yes","01-Dem","05-Very conservative",1,0,0,-0.38153241972236,0.0593530239816611,0.317981226558994
"50","landline",9,50,"04-50to59","01-female","01-postgrad","02-N","W","01-protestant","08-100to150k","2","01-Both","KY","South","01-Lowest","01-Yes","01-Dem","03-Moderate",1,0,0,-0.108053413825167,0.328250861427198,0.610772332443845
"84","landline",9,84,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","01-under10k","Don't know/Refused","02-LL only","IL","Midwest","01-Lowest","01-Yes","02-Rep","99-DK/refused",0,1,0,1.75160382627575,0.818052398936512,0.944618784933375
"55","landline",9,55,"04-50to59","01-female","03-assoc","02-N","O","02-catholic","99-DK/refused","2","02-LL only","IL","Midwest","03","01-Yes","02-Rep","04-Conservative",0,1,0,0.165425592072027,0.158537696784536,0.00479289865240502
"58","landline",9,58,"04-50to59","02-male","01-postgrad","02-N","W","07-other","07-75to100k","3","01-Both","AK","West","01-Lowest","01-Yes","01-Dem","02-Liberal",1,0,0,0.329512995610343,0.539672924761935,0.498089840431409
"81","landline",9,81,"06-Over 70","02-male","03-assoc","02-N","W","01-protestant","03-20to30k","2","02-LL only","MN","Midwest","05-Highest","01-Yes","03-Lean Dem","03-Moderate",1,0,0,1.58751642273743,0.764053521091042,0.897984939758061
"71","landline",9,71,"06-Over 70","02-male","03-assoc","02-N","W","01-protestant","06-50to75k","2","01-Both","TX","South","01-Lowest","01-Yes","02-Rep","05-Very conservative",0,1,0,1.04055841094305,0.520268093122426,0.889054240897194
"77","landline",9,77,"06-Over 70","02-male","01-postgrad","02-N","W","01-protestant","08-100to150k","2","01-Both","CO","West","02","01-Yes","03-Lean Dem","02-Liberal",1,0,0,1.36873321801968,0.90356391885567,0.967833455564668
"46","landline",9,46,"03-40to49","01-female","03-assoc","02-N","W","06-LDS","07-75to100k","6","01-Both","UT","West","01-Lowest","01-Yes","02-Rep","05-Very conservative",0,1,0,-0.326836618542922,0.0657629721151988,0.663662830186855
"65","landline",9,65,"05-60to69","02-male","04-HS","02-N","W","01-protestant","02-10to20k","1","01-Both","CO","West","01-Lowest","01-Yes","04-Lean Rep","05-Very conservative",0,1,0,0.712383603866413,0.36003026420392,0.748651633331065
"71","landline",9,71,"06-Over 70","02-male","02-bach","02-N","W","07-other","08-100to150k","2","01-Both","CO","West","03","01-Yes","03-Lean Dem","03-Moderate",1,0,0,1.04055841094305,0.829362629042788,0.939788047455585
"89","landline",9,89,"06-Over 70","02-male","02-bach","02-N","W","07-other","05-40to50k","1","01-Both","WA","West","04","01-Yes","01-Dem","03-Moderate",1,0,0,2.02508283217294,0.97208192247566,0.991135812877068
"68","landline",9,68,"05-60to69","01-female","03-assoc","02-N","W","04-jewish","02-10to20k","1","02-LL only","WA","West","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.876471007404729,0.438547761193379,0.805277062679363
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","01-female","03-assoc","02-N","W","02-catholic","09-over150k","Don't know/Refused","01-Both","AZ","West","03","99-DNK/refused","99-DK/refused","99-DK/refused",1,0,0,0,0.00407013771589613,0.880797077977882
"58","landline",9,58,"04-50to59","01-female","02-bach","02-N","W","01-protestant","99-DK/refused","2","01-Both","CA","West","02","01-Yes","04-Lean Rep","04-Conservative",0,1,0,0.329512995610343,0.539672924761935,0.118403031323089
"87","landline",9,87,"06-Over 70","02-male","02-bach","02-N","W","06-LDS","04-30to40k","1","01-Both","CA","West","04","01-Yes","05-Ind","03-Moderate",0,0,1,1.91569122981406,0.861926334754249,0.984703488799377
"80","landline",9,80,"06-Over 70","01-female","02-bach","02-N","W","01-protestant","08-100to150k","2","01-Both","CA","West","04","01-Yes","01-Dem","02-Liberal",0,0,1,1.53282062155799,0.928617305341148,0.976622083116893
"78","landline",9,78,"06-Over 70","01-female","02-bach","02-N","W","07-other","04-30to40k","4","01-Both","CA","West","05-Highest","02-Probably","02-Rep","04-Conservative",0,1,0,1.42342901919912,0.912684163491451,0.960082000928934
"50","landline",9,50,"04-50to59","02-male","01-postgrad","02-N","W","01-protestant","09-over150k","5","01-Both","AK","West","02","01-Yes","03-Lean Dem","02-Liberal",1,0,0,-0.108053413825167,0.328250861427198,0.856176928425627
"45","landline",9,45,"03-40to49","01-female","02-bach","02-N","W","02-catholic","06-50to75k","2","02-LL only","MI","Midwest","01-Lowest","01-Yes","03-Lean Dem","03-Moderate",1,0,0,-0.38153241972236,0.220446748387667,0.317981226558994
"30","landline",9,30,"02-30to39","02-male","03-assoc","02-N","O","07-other","02-10to20k","2","01-Both","KY","South","04","03-No","03-Lean Dem","04-Conservative",1,0,0,-1.20196943741394,0.0120813325772527,0.000160465324356082
"48","landline",9,48,"03-40to49","02-male","05-less than HS","02-N","W","07-other","01-under10k","4","02-LL only","MI","Midwest","02","01-Yes","04-Lean Rep","03-Moderate",0,1,0,-0.217445016184044,0.0805505571824091,0.24944832954087
"61","landline",9,61,"05-60to69","02-male","03-assoc","02-N","W","02-catholic","06-50to75k","1","01-Both","OH","Midwest","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.493600399148659,0.266432399924516,0.879446680636165
"85","landline",9,85,"06-Over 70","01-female","04-HS","02-N","W","01-protestant","02-10to20k","3","01-Both","CT","Northeast","02","01-Yes","03-Lean Dem","03-Moderate",1,0,0,1.80629962745519,0.833771946110232,0.782324794126669
"70","landline",9,70,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","05-40to50k","2","01-Both","MI","Midwest","01-Lowest","01-Yes","03-Lean Dem","02-Liberal",1,0,0,0.985862609763607,0.492931775774299,0.837316002317115
"66","landline",9,66,"05-60to69","02-male","03-assoc","02-N","W","01-protestant","05-40to50k","2","01-Both","IN","Midwest","02","01-Yes","02-Rep","04-Conservative",0,1,0,0.767079405045852,0.385601049331338,0.768671598673685
"71","landline",9,71,"06-Over 70","01-female","03-assoc","02-N","B","01-protestant","08-100to150k","2","01-Both","GA","South","04","01-Yes","01-Dem","04-Conservative",1,0,0,1.04055841094305,0.520268093122426,0.437278015501368
"90","landline",9,90,"06-Over 70","01-female","02-bach","01-Y","W","07-other","05-40to50k","1","01-Both","CT","Northeast","02","01-Yes","01-Dem","01-Very liberal",1,0,0,2.07977863335238,0.974902207372772,0.992047021019462
"44","landline",9,44,"03-40to49","01-female","02-bach","02-N","W","02-catholic","05-40to50k","5","01-Both","TN","South","03","01-Yes","02-Rep","05-Very conservative",0,1,0,-0.436228220901799,0.202223261206155,0.448733354749423
"87","landline",9,87,"06-Over 70","01-female","01-postgrad","02-N","W","04-jewish","99-DK/refused","1","01-Both","MI","Midwest","04","01-Yes","03-Lean Dem","03-Moderate",1,0,0,1.91569122981406,0.965489861800633,0.897035927079926
"73","landline",9,73,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","06-50to75k","2","01-Both","NC","South","04","01-Yes","02-Rep","03-Moderate",0,1,0,1.14995001330192,0.574418077302156,0.908868758893307
"53","landline",9,53,"04-50to59","02-male","04-HS","02-N","W","07-other","09-over150k","4","01-Both","VA","South","03","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.0560339897131491,0.131480438987767,0.89207060112257
"38","landline",9,38,"02-30to39","01-female","02-bach","02-N","W","07-other","07-75to100k","4","01-Both","MD","South","04","01-Yes","01-Dem","03-Moderate",1,0,0,-0.764403027978431,0.116211491561933,0.451286829825488
"76","landline",9,76,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","03-20to30k","1","01-Both","FL","South","05-Highest","01-Yes","02-Rep","05-Very conservative",0,1,0,1.31403741684024,0.652052808522255,0.93264671727022
"49","landline",9,49,"03-40to49","01-female","02-bach","02-N","W","01-protestant","07-75to100k","4","01-Both","MA","Northeast","04","01-Yes","03-Lean Dem","02-Liberal",1,0,0,-0.162749215004606,0.304597743944151,0.732596222623374
"42","landline",9,42,"03-40to49","02-male","03-assoc","01-Y","B","07-other","02-10to20k","2","01-Both","NY","Northeast","03","01-Yes","01-Dem","02-Liberal",1,0,0,-0.545619823260676,0.0434700607579096,0.00438761164082347
"50","landline",9,50,"04-50to59","01-female","04-HS","02-N","W","02-catholic","99-DK/refused","5","01-Both","MI","Midwest","02","01-Yes","02-Rep","04-Conservative",0,1,0,-0.108053413825167,0.0983133864074602,0.132070628948042
"82","landline",9,82,"06-Over 70","01-female","04-HS","02-N","W","01-protestant","99-DK/refused","2","01-Both","PA","Northeast","03","01-Yes","02-Rep","05-Very conservative",0,1,0,1.64221222391687,0.78320197409332,0.649708419297075
"38","landline",9,38,"02-30to39","01-female","03-assoc","02-N","W","01-protestant","99-DK/refused","3","01-Both","SC","South","03","01-Yes","01-Dem","03-Moderate",1,0,0,-0.764403027978431,0.0285036307969159,0.00551105601161766
"78","landline",9,78,"06-Over 70","01-female","04-HS","02-N","B","01-protestant","06-50to75k","3","02-LL only","MD","South","04","01-Yes","01-Dem","03-Moderate",1,0,0,1.42342901919912,0.699907629258469,0.239915658959053
"55","landline",9,55,"04-50to59","02-male","04-HS","02-N","W","01-protestant","06-50to75k","3","01-Both","OH","Midwest","03","01-Yes","03-Lean Dem","03-Moderate",1,0,0,0.165425592072027,0.158537696784536,0.338687461359739
"80","landline",9,80,"06-Over 70","01-female","05-less than HS","02-N","W","07-other","99-DK/refused","2","02-LL only","MI","Midwest","02","01-Yes","02-Rep","04-Conservative",0,1,0,1.53282062155799,0.743767117426883,0.598441266172814
"71","landline",9,71,"06-Over 70","01-female","01-postgrad","02-N","W","07-other","09-over150k","2","02-LL only","ME","Northeast","02","01-Yes","01-Dem","01-Very liberal",1,0,0,1.04055841094305,0.829362629042788,0.95610707740595
"84","landline",9,84,"06-Over 70","02-male","04-HS","02-N","W","01-protestant","02-10to20k","1","02-LL only","PA","Northeast","04","01-Yes","01-Dem","99-DK/refused",1,0,0,1.75160382627575,0.818052398936512,0.959684722274277
